,coin,type,price,qty,timestamp
0,LUNA , SGD Sell Instant Order , 61.4698 0.0837915 , 5.09 ,2021-11-21 07:31:40
1,LUNA , SGD Buy Instant Order , 59.0752 5 , 0.0837915 ,2021-11-20 00:31:46
2,NANO , SGD Buy Instant Order , 7.78757 5 , 0.63562831 ,2021-11-19 23:50:26
3,GRT , SGD Buy Instant Order , 1.30388 5 , 3.79636162 ,2021-11-19 23:49:20
4,UNI , SGD Buy Instant Order , 28.8421 5 , 0.17162411 ,2021-11-19 22:01:21
5,ENJ , SGD Sell Instant Order , 4.54251 3.38264075 , 15.24 ,2021-11-19 21:43:42
6,EGLD , SGD Sell Instant Order , 457.15 0.01125375 , 5.1 ,2021-11-19 21:16:03
7,BCH , SGD Buy Instant Order , 811.325 5 , 0.00610113 ,2021-11-17 20:37:59
8,NANO , SGD Sell Instant Order , 8.40668 0.62908002 , 5.24 ,2021-11-17 19:13:38
9,ENJ , SGD Buy Instant Order , 4.18177 5 , 1.19207895 ,2021-11-09 22:02:36
10,UNI , SGD Sell Instant Order , 36.1628 0.14243793 , 5.13 ,2021-11-09 13:37:47
11,NANO , SGD Buy Instant Order , 7.92427 5 , 0.62908002 ,2021-11-08 19:49:56
12,UNI , SGD Buy Instant Order , 34.9977 5 , 0.14243793 ,2021-11-08 19:47:25
13,ATOM , SGD Buy Instant Order , 49.4417 5 , 0.10082582 ,2021-11-08 19:42:49
14,ENJ , SGD Buy Instant Order , 4.34526 5 , 1.14722709 ,2021-11-08 19:40:30
15,MANA , ENJ Swap Instant Order , 0.87922 1.19864589 , 1.0433347 ,2021-11-07 21:06:10
16,SAND , LINK Swap Instant Order , 0.084015 1.13150874 , 0.09411306 ,2021-11-06 19:20:50
17,EGLD , SGD Buy Instant Order , 439.853 5 , 0.01125375 ,2021-11-05 18:38:48
18,FTM , SGD Sell Instant Order , 3.9574 1.30766609 , 5.12 ,2021-11-05 18:25:28
19,AXS , SGD Buy Instant Order , 207.983 5 , 0.02380002 ,2021-11-04 19:34:07
20,ENJ , SGD Sell Instant Order , 4.19014 1.26300641 , 5.23 ,2021-11-04 18:40:10
21,MANA , SGD Buy Instant Order , 4.12966 5 , 1.19864589 ,2021-11-04 00:39:57
22,SAND , SGD Buy Instant Order , 4.37469 5 , 1.13150874 ,2021-11-04 00:34:46
23,NEAR , SGD Sell Instant Order , 14.9107 0.34264117 , 5.05 ,2021-11-04 00:31:21
24,MKR , SGD Sell Instant Order , 4676.84 0.00112364 , 5.2 ,2021-11-04 00:19:38
