coin,type,price,qty,timestamp,amount,temp,found
SAND,SGD Sell Instant Order,7.267239999999999,0.72426129,2021-12-12 22:07:42,5.21,5.21,
SAND,SGD Buy Instant Order,6.83455,0.72426129,2021-12-11 17:37:16,5.0,,
SHIB,SHIB Swap Instant Order (buy),4309095.47,9636.30695943,2021-12-29 01:03:16,,9636.30695943,
SNX,SGD Buy Instant Order,6.50094,0.76142834,2022-02-12 06:51:43,5.0,,
SNX,SGD Sell Instant Order,5.61313,0.94276196,2022-01-26 01:32:47,5.23,5.23,
SNX,SGD Buy Instant Order,5.25053,0.94276196,2022-01-23 10:05:37,5.0,,
SNX,SNX Swap Instant Order (buy),0.5291,0.45780906,2022-01-07 02:31:33,,0.45780906,
VET,SGD Sell Instant Order,0.12919,39.70482072,2021-12-24 11:29:11,5.07,5.07,
VET,SGD Buy Instant Order,0.12467,39.70482072,2021-12-09 17:46:48,5.0,,
YFI,SGD Buy Instant Order,32077.85,0.00015431,2022-01-23 10:02:15,5.0,,
YFI,YFI Swap Instant Order (buy),0.0065119,6.446e-05,2022-01-06 07:28:36,,6.446e-05,
YFI,SGD Sell Instant Order,44820.96,0.00024112,2022-01-01 21:25:29,10.69,10.69,
YFI,SGD Buy Instant Order,40655.88,0.00012175,2021-12-28 18:45:17,5.0,,
YFI,SGD Buy Instant Order,41471.25,0.00011935,2021-12-28 11:50:39,5.0,,
YFI,SGD Sell Instant Order,36489.33,0.00028307,2021-12-17 18:30:10,10.22,10.22,
ZEC,SHIB Swap Instant Order (sell),4309095.47,0.00225886,2021-12-29 01:03:16,,9636.30695943,
