timestamp,buyPrice,timestamp2,sellPrice,buyGradient,buyGradient_norm,buyGradient2,buyGradient_roll1dmean,diurnal,next_time
2022-01-29 20:45:00,51432.62297521,2022-01-29 20:45:00,0,,,,,,2022-01-30 13:15:00
2022-01-29 21:30:00,51701.67113044,2022-01-29 21:30:00,0,0.0016607910816666934,0.8152334421406678,,0.8152334421406678,1.0,2022-02-02 00:30:00
2022-01-29 22:15:00,51817.41358601,2022-01-29 22:15:00,0,0.0007144596022839391,0.3507071824204805,-0.0009463314793827543,0.5829703122805742,1.0,2022-02-02 00:30:00
2022-01-29 23:00:00,51040.42962766,2022-01-29 23:00:00,0,-0.004796197273765431,-2.3543120238540554,-0.005510656876049369,-0.39612379976430234,0.0,2022-01-30 06:15:00
2022-01-29 23:30:00,51132.52530249,2022-01-29 23:30:00,0,0.0008527377299074201,0.4185838438498804,0.005648935003672851,-0.19244688886075667,0.11852969915308857,2022-01-30 06:15:00
2022-01-30 00:15:00,50921.26035714,2022-01-30 00:15:00,0,-0.0013041046009259136,-0.6401465509180038,-0.0021568423308333338,-0.2819868212722061,0.0,2022-01-30 03:15:00
2022-01-30 01:00:00,51159.48338762,2022-01-30 01:00:00,0,0.0014705125338271355,0.7218313055124426,0.002774617134753049,-0.11468380014143131,0.2658284574618819,2022-01-30 06:15:00
2022-01-30 01:45:00,51218.41784906,2022-01-30 01:45:00,0,0.00036379297185187257,0.17857525846764238,-0.001106719561975263,-0.07278964891156366,0.33159227947512926,2022-01-30 06:15:00
2022-01-30 02:15:00,51224.68605364,2022-01-30 02:15:00,0,5.803893129625606e-05,0.028489602491921576,-0.0003057540405556165,-0.060129742486128,0.3385868473437286,2022-01-30 06:15:00
2022-01-30 02:45:00,51427.51546326,2022-01-30 02:45:00,0,0.001878050089074114,0.9218794919659535,0.001820011157777858,0.0489823946752144,0.564920250031751,2022-01-30 13:15:00
2022-01-30 03:15:00,51516.75691275,2022-01-30 03:15:00,0,0.0008263097175000034,0.40561111069778943,-0.0010517403715741107,0.0846452662774719,0.6645030519623195,2022-01-30 16:00:00
2022-01-30 03:45:00,51514.2745583,2022-01-30 03:45:00,0,-2.2984763425955423e-05,-0.01128254360911309,-0.0008492944809259589,0.07592455628778236,0.6617330407967811,2022-01-30 16:00:00
2022-01-30 04:30:00,52351.46473146,2022-01-30 04:30:00,0,0.005167840575061735,2.536740777903153,0.005190825338487691,0.2809925747557299,1.0,2022-02-02 01:00:00
2022-01-30 05:00:00,52357.16152589,2022-01-30 05:00:00,0,5.27480965740526e-05,0.025892487508590443,-0.0051150924784876825,0.26136949112133456,1.0,2022-02-02 01:00:00
2022-01-30 05:45:00,52280.08143678,2022-01-30 05:45:00,0,-0.0004758030191975352,-0.23355769271837598,-0.0005285511157715878,0.22601754941849814,0.9463193632072173,2022-02-02 01:00:00
2022-01-30 06:15:00,51902.81952736,2022-01-30 06:15:00,0,-0.0034931658279629455,-1.7146922531884754,-0.0030173628087654105,0.09663689591136657,0.6835840735992156,2022-02-02 00:30:00
2022-01-30 07:00:00,51767.871866199996,2022-01-30 07:00:00,0,-0.0008330102540740983,-0.40890020681336275,0.002660155573888847,0.06504082699107099,0.5896029110394826,2022-02-02 00:30:00
2022-01-30 07:45:00,51821.55632143,2022-01-30 07:45:00,0,0.00033138552611112744,0.1626673975489162,0.0011643957801852258,0.0707835664356501,0.6269902023087953,2022-02-02 00:30:00
2022-01-30 08:30:00,51601.99987952,2022-01-30 08:30:00,0,-0.0013552866784567739,-0.6652703257877003,-0.0016866722045679014,0.029891683534352866,0.47408522062323166,2022-02-01 03:00:00
2022-01-30 09:15:00,51547.74336283,2022-01-30 09:15:00,0,-0.00033491676969137145,-0.1644007810495492,0.0010203699087654025,0.019665764345726443,0.4362995304442659,2022-02-01 01:45:00
2022-01-30 10:00:00,51578.12818519,2022-01-30 10:00:00,0,0.0001875606318518507,0.09206799169538755,0.0005224774015432222,0.023285875713209496,0.45746033386254775,2022-02-01 01:45:00
2022-01-30 10:30:00,51719.21674923,2022-01-30 10:30:00,0,0.0013063755929629728,0.6412613140425671,0.0011188149611111222,0.05271327753841701,0.5557181855243191,2022-02-02 00:30:00
2022-01-30 11:15:00,51696.61265683,2022-01-30 11:15:00,0,-0.00013953143456788377,-0.06849187290640212,-0.0014459070275308567,0.04720395251819796,0.5399760906699254,2022-02-02 00:30:00
2022-01-30 11:45:00,51580.07390625,2022-01-30 11:45:00,0,-0.001079062505370395,-0.5296800122838002,-0.0009395310708025113,0.0221220410050676,0.45881538607808087,2022-02-01 03:00:00
2022-01-30 12:30:00,51706.98931507,2022-01-30 12:30:00,0,0.0007834284495061801,0.3845619588232029,0.001862490954876575,0.03722370424748991,0.5472026731575153,2022-02-02 00:30:00
2022-01-30 13:15:00,51991.5352809,2022-01-30 13:15:00,0,0.0017564565791975456,0.8621928181314814,0.0009730281296913655,0.07022246880284957,0.7453680984825117,2022-02-02 00:30:00
2022-01-30 13:45:00,51934.14200855,2022-01-30 13:45:00,0,-0.0005314191884259613,-0.2608580326463015,-0.002287875767623507,0.05748860336249761,0.7053978877193526,2022-02-02 00:30:00
2022-01-30 14:30:00,51851.35959821,2022-01-30 14:30:00,0,-0.0005110025329629508,-0.25083609762157416,2.041665546301057e-05,0.046069169992717166,0.647746001822454,2022-02-02 00:30:00
2022-01-30 15:15:00,51924.01023042,2022-01-30 15:15:00,0,0.0004484606926542952,0.2201361496778088,0.000959463225617246,0.05228584783861329,0.6983418462935891,2022-02-02 00:30:00
