,Unnamed: 0,date,price,sellPrice
99,99,2021-12-08 14:45:00,"S$ 3,735.06615385",0
100,100,2021-12-08 15:30:00,"S$ 3,732.08785047",0
101,101,2021-12-08 16:15:00,"S$ 3,736.67256881",0
102,102,2021-12-08 17:00:00,"S$ 3,752.19101852",0
103,103,2021-12-08 17:30:00,"S$ 3,720.16902655",0
104,104,2021-12-08 18:15:00,"S$ 3,718.48250000",0
105,105,2021-12-08 19:00:00,"S$ 3,661.82603604",0
106,106,2021-12-08 19:45:00,"S$ 3,652.43372881",0
107,107,2021-12-08 20:30:00,"S$ 3,639.17042735",0
108,108,2021-12-08 21:15:00,"S$ 3,692.61309735",0
109,109,2021-12-08 22:00:00,"S$ 3,689.63911504",0
110,110,2021-12-08 22:45:00,"S$ 3,766.81552381",0
111,111,2021-12-08 23:30:00,"S$ 3,746.18000000",0
112,112,2021-12-09 00:00:00,"S$ 3,734.08162393",0
113,113,2021-12-09 00:30:00,"S$ 3,698.42468468",0
114,114,2021-12-09 01:00:00,"S$ 3,702.19290909",0
115,115,2021-12-09 01:45:00,"S$ 3,643.69818182",0
116,116,2021-12-09 02:15:00,"S$ 3,652.93070175",0
117,117,2021-12-09 03:00:00,"S$ 3,657.58648148",0
118,118,2021-12-09 03:30:00,"S$ 3,672.36905660",0
119,119,2021-12-09 04:15:00,"S$ 3,657.35592920",0
120,120,2021-12-09 05:00:00,"S$ 3,749.15608696",0
121,121,2021-12-09 05:30:00,"S$ 3,714.47738318",0
122,122,2021-12-09 06:15:00,"S$ 3,710.62019048",0
123,123,2021-12-09 06:45:00,"S$ 3,708.98293651",0
124,124,2021-12-09 07:30:00,"S$ 3,729.58187500",0
125,125,2021-12-09 08:15:00,"S$ 3,746.66298246",0
126,126,2021-12-09 09:00:00,"S$ 3,699.79727273",0
127,127,2021-12-09 09:45:00,"S$ 3,683.07905983",0
128,128,2021-12-09 10:30:00,"S$ 3,634.71128205",0
129,129,2021-12-09 11:15:00,"S$ 3,664.08900901",0
130,130,2021-12-09 12:00:00,"S$ 3,662.98514851",0
131,131,2021-12-09 12:30:00,"S$ 3,638.24539823",0
132,132,2021-12-09 13:15:00,"S$ 3,638.60045045",0
133,133,2021-12-09 13:45:00,"S$ 3,652.94176991",0
134,134,2021-12-09 14:15:00,"S$ 3,666.41550459",0
