timestamp,buyPrice,sellPrice
2022-02-06 23:17:00,245.922,243.74400000000003
2022-02-06 23:18:00,246.0123333333333,
2022-02-06 23:19:00,246.10266666666664,
2022-02-06 23:20:00,246.193,244.012
2022-02-06 23:21:00,246.328,
2022-02-06 23:22:00,246.463,244.28
2022-02-06 23:23:00,246.59799999999998,
2022-02-06 23:24:00,246.733,
2022-02-06 23:25:00,246.868,
2022-02-06 23:26:00,247.003,244.683
2022-02-06 23:27:00,247.27366666666663,
2022-02-06 23:28:00,247.54433333333333,
2022-02-06 23:29:00,247.815,245.488
2022-02-06 23:30:00,248.0312,
2022-02-06 23:31:00,248.2474,
2022-02-06 23:32:00,248.4636,
2022-02-06 23:33:00,248.6798,
2022-02-06 23:34:00,248.896,246.694
2022-02-06 23:35:00,248.6935,
2022-02-06 23:36:00,248.491,246.291
2022-02-06 23:37:00,248.3558,
2022-02-06 23:38:00,248.2206,
2022-02-06 23:39:00,248.0854,
2022-02-06 23:40:00,247.9502,
2022-02-06 23:41:00,247.815,245.621
2022-02-06 23:42:00,247.8234375,
2022-02-06 23:43:00,247.831875,
2022-02-06 23:44:00,247.8403125,
2022-02-06 23:45:00,247.84875,
2022-02-06 23:46:00,247.8571875,
2022-02-06 23:47:00,247.865625,
2022-02-06 23:48:00,247.8740625,
2022-02-06 23:49:00,247.8825,
2022-02-06 23:50:00,247.8909375,
2022-02-06 23:51:00,247.899375,
2022-02-06 23:52:00,247.9078125,
2022-02-06 23:53:00,247.91625,
2022-02-06 23:54:00,247.9246875,
2022-02-06 23:55:00,247.933125,
2022-02-06 23:56:00,247.9415625,
2022-02-06 23:57:00,247.95,245.755
2022-02-06 23:58:00,247.85966666666667,
2022-02-06 23:59:00,247.76933333333332,
2022-02-07 00:00:00,247.679,245.353
2022-02-07 00:01:00,247.95,245.755
2022-02-07 00:02:00,247.95,
2022-02-07 00:03:00,247.95,245.621
2022-02-07 00:04:00,249.031,246.828
2022-02-07 00:05:00,248.6255,
2022-02-07 00:06:00,248.22,246.023
2022-02-07 00:07:00,248.153,
2022-02-07 00:08:00,248.086,245.89
2022-02-07 00:09:00,248.09754696413287,
2022-02-07 00:10:00,248.10909392826576,
2022-02-07 00:11:00,248.12064089239865,
2022-02-07 00:12:00,248.13218785653157,
2022-02-07 00:13:00,248.1437348206645,
2022-02-07 00:14:00,248.15528178479732,
2022-02-07 00:15:00,248.16682874893024,
2022-02-07 00:16:00,248.17837571306316,
2022-02-07 00:17:00,248.189922677196,
2022-02-07 00:18:00,248.20146964132888,
2022-02-07 00:19:00,248.2130166054618,
2022-02-07 00:20:00,248.2245635695947,
2022-02-07 00:21:00,248.2361105337276,
2022-02-07 00:22:00,248.2476574978605,
2022-02-07 00:23:00,248.25920446199342,
2022-02-07 00:24:00,248.27075142612628,
2022-02-07 00:25:00,248.28229839025917,
