timestamp,buyPrice,timestamp2,sellPrice,buyGradient,buyGradient_norm,buyGradient2,buyGradient_roll1dmean,diurnal
2022-01-29 21:00:00,4.11571784,2022-01-29 21:00:00,0,,,,,
2022-01-29 21:45:00,4.16584592,2022-01-29 21:45:00,0,3.0943259259258924e-07,1.05415907317231,,1.05415907317231,1.0
2022-01-29 22:15:00,4.14145947,2022-01-29 22:15:00,0,-2.2580046296296045e-07,-0.7692454268135607,-5.352330555555497e-07,0.1424568231793747,0.5135171744060417
2022-01-29 23:00:00,4.01037904,2022-01-29 23:00:00,0,-8.091384567901229e-07,-2.756531361261578,-5.833379938271625e-07,-0.8238725716342762,0.0
2022-01-29 23:45:00,4.04553018,2022-01-29 23:45:00,0,2.1698234567901217e-07,0.7392043174873342,1.026120802469135e-06,-0.4331033493538736,0.22610050449330463
2022-01-30 01:30:00,4.0661605000000005,2022-01-30 01:30:00,0,5.457756613756726e-08,0.18593205083385989,-1.624047795414449e-07,-0.3092962693163269,0.3587996362955282
2022-01-30 02:00:00,4.06674537,2022-01-30 02:00:00,0,5.415462962954365e-09,0.01844912124477888,-4.9162103174612894e-08,-0.2546720375561426,0.3625616594351131
2022-01-30 02:45:00,4.14505039,2022-01-30 02:45:00,0,4.833643209876554e-07,1.6467007574983978,4.779488580247011e-07,0.01695264745164888,0.8662381981294018
2022-01-30 03:30:00,4.13523271,2022-01-30 03:30:00,0,-6.060296296295916e-08,-0.2064590634530943,-5.439672839506146e-07,-0.010973816411444019,0.8030885420740452
2022-01-30 04:15:00,4.13664393,2022-01-30 04:15:00,0,8.71123456789878e-09,0.029676986775512334,6.931419753085794e-08,-0.0064570605017822014,0.8121658452269714
2022-01-30 04:45:00,4.1359056,2022-01-30 04:45:00,0,-6.836388888887947e-09,-0.023289858752675533,-1.5547623456786727e-08,-0.008140340326871534,0.8074167308175236
2022-01-30 05:30:00,4.13372699,2022-01-30 05:30:00,0,-1.3448209876540967e-08,-0.04581467110656479,-6.611820987653021e-09,-0.01156527948866183,0.7934033924138736
2022-01-30 06:15:00,4.12395153,2022-01-30 06:15:00,0,-6.034234567901346e-08,-0.20557120586771513,-4.689413580247249e-08,-0.027732440020249605,0.7305253054541289
2022-01-30 07:00:00,4.0689204,2022-01-30 07:00:00,0,-3.39698333333337e-07,-1.1572668451779156,-2.7935598765432356e-07,-0.11461970195545468,0.37655197042611055
2022-01-30 07:30:00,4.06138028,2022-01-30 07:30:00,0,-6.981592592592422e-08,-0.23784531277104243,2.6988240740741276e-07,-0.12342153129942524,0.3280521227415115
2022-01-30 08:15:00,4.09527331,2022-01-30 08:15:00,0,2.0921623456789982e-07,0.7127471287909182,2.7903216049382405e-07,-0.06767695396006901,0.5460601640683835
2022-01-30 09:00:00,4.04758792,2022-01-30 09:00:00,0,-2.9435425925925823e-07,-1.0027909811479019,-5.035704938271581e-07,-0.12612158065930856,0.23933637826911913
2022-01-30 09:45:00,4.03417959,2022-01-30 09:45:00,0,-8.276746913580159e-08,-0.28196796537167357,2.1158679012345665e-07,-0.13528901505415356,0.15309080622187737
2022-01-30 10:30:00,4.03407792,2022-01-30 10:30:00,0,-6.275925925942945e-10,-0.0021380502299254344,8.213987654320729e-08,-0.12789173923058533,0.15243684056693996
2022-01-30 11:00:00,4.03933613,2022-01-30 11:00:00,0,4.868712962963001e-08,0.16586481409657453,4.931472222222431e-08,-0.11243086800284008,0.18625889964473233
2022-01-30 11:45:00,4.01374027,2022-01-30 11:45:00,0,-1.579991358024645e-07,-0.5382633457065922,-2.0668626543209452e-07,-0.13372249188802768,0.02162023191049009
2022-01-30 12:30:00,4.03024777,2022-01-30 12:30:00,0,1.0189814814814476e-07,0.34714138064716465,2.598972839506093e-07,-0.1108242122434947,0.12780040353289282
2022-01-30 14:00:00,4.08369096,2022-01-30 14:00:00,0,1.6494811728395157e-07,0.5619367791243213,6.304996913580681e-08,-0.08024416718132125,0.4715597302782448
2022-01-30 14:45:00,4.13095513,2022-01-30 14:45:00,0,2.9175413580246945e-07,0.9939330140204672,1.2680601851851788e-07,-0.03354081147689567,0.7755741287147488
2022-01-30 15:30:00,4.22918485,2022-01-30 15:30:00,0,6.063562962962961e-07,2.0657035057631696,3.146021604938267e-07,0.05392770174144038,1.0
2022-01-30 16:00:00,4.25931305,2022-01-30 16:00:00,0,2.7896481481481525e-07,0.9503630117595883,-3.273914814814809e-07,0.0897851141421663,1.0
2022-01-30 16:45:00,4.31009078,2022-01-30 16:45:00,0,3.1344277777777826e-07,1.0678207662171475,3.4477962962963005e-08,0.12740186999120404,1.0
2022-01-30 17:30:00,4.28868442,2022-01-30 17:30:00,0,-1.3213802469135983e-07,-0.45016103983223305,-4.455808024691381e-07,0.10601065110885452,0.9285768385315828
2022-01-30 18:15:00,4.31059335,2022-01-30 18:15:00,0,1.3524030864197767e-07,0.46072974155398877,2.6737833333333747e-07,0.1186791900533236,1.0
2022-01-30 19:00:00,4.32597685,2022-01-30 19:00:00,0,9.495987654320711e-08,0.32350443308712273,-4.028043209877056e-08,0.1257421294682822,1.0
2022-01-30 19:45:00,4.32833536,2022-01-30 19:45:00,0,1.4558703703701527e-08,0.049597844474938604,-8.040117283950559e-08,0.12320398663517075,1.0
2022-01-30 20:15:00,4.34850557,2022-01-30 20:15:00,0,1.867612037037106e-07,0.6362484822665821,1.7220250000000906e-07,0.1397538090748937,1.0
2022-01-30 21:00:00,4.29579198,2022-01-30 21:00:00,0,-3.253925308642015e-07,-1.1085305716473968,-5.121537345679121e-07,0.10074492217732212,0.8441009937906955
