,coin,type,price,qty,timestamp,amount,temp
96,1INCH ,SGD Buy Instant Order,4.96591,0.99679615,2021-12-01 00:25:48,5,
58,AAVE,AAVE Swap Instant Order,,0.03373722,2021-12-08 21:40:37,,
103,AAVE ,SGD Buy Instant Order,323.464,0.01530309,2021-11-29 20:53:10,5,
20,AAVE ,SGD Buy Instant Order,311.461,0.01589284,2022-01-06 07:06:29,5,
8,AAVE ,SGD Buy Instant Order,203.081,0.02437451,2022-01-23 10:05:57,5,
138,ATOM ,SGD Buy Instant Order,49.4417,0.10082582,2021-11-08 19:42:49,5,
30,AVAX ,SGD Buy Instant Order,152.462,0.0324671,2021-12-29 01:00:02,5,
144,AXS ,SGD Buy Instant Order,207.983,0.02380002,2021-11-04 19:34:07,5,
50,BAND ,SGD Buy Instant Order,7.29381,0.67865765,2021-12-12 22:48:28,5,
55,BAT ,SGD Buy Instant Order,1.47139,3.36416585,2021-12-11 10:16:09,5,
132,BCH ,SGD Buy Instant Order,811.325,0.00610113,2021-11-17 20:37:59,5,
26,BTC ,SGD Buy Instant Order,63575.24,7.786e-05,2021-12-29 21:16:39,5,
11,BTC ,SGD Buy Instant Order,47742.87,0.00010368,2022-01-23 10:04:47,5,
107,CHZ ,SGD Buy Instant Order,0.57908,8.54804172,2021-11-28 17:21:33,5,
87,CHZ ,SGD Buy Instant Order,0.57961,8.54022532,2021-12-02 14:32:28,5,
90,CLV ,SGD Buy Instant Order,1.50974,3.27871024,2021-12-01 21:54:13,5,
39,DAI ,SGD Buy Instant Order,1.36304,3.63158821,2021-12-24 16:40:07,5,
102,DOT,DOT Swap Instant Order,,0.28452876,2021-11-29 21:35:25,,
85,DOT ,SGD Buy Instant Order,48.6245,0.10180053,2021-12-02 14:36:49,5,
77,DOT ,SGD Buy Instant Order,44.437,0.11139365,2021-12-04 11:29:25,5,
69,DOT ,SGD Buy Instant Order,40.1221,0.1233734,2021-12-04 23:25:30,5,
59,DOT ,SGD Buy Instant Order,36.3307,0.1362484,2021-12-06 21:29:54,5,
104,DYDX ,SGD Buy Instant Order,16.9711,0.29167231,2021-11-29 20:09:58,5,
93,EGLD,EGLD Swap Instant Order,,0.00788083,2021-12-01 00:58:12,,
75,EGLD,EGLD Swap Instant Order,,0.01004937,2021-12-04 16:31:17,,
142,EGLD ,SGD Buy Instant Order,439.853,0.01125375,2021-11-05 18:38:48,5,
95,EGLD ,SGD Buy Instant Order,537.737,0.00920524,2021-12-01 00:27:03,5,
86,EGLD ,SGD Buy Instant Order,506.506,0.00977283,2021-12-02 14:33:18,5,
83,EGLD ,SGD Buy Instant Order,479.922,0.01031417,2021-12-03 15:23:47,5,
80,EGLD ,SGD Buy Instant Order,455.214,0.010874,2021-12-04 00:06:14,5,
