timestamp,buyPrice,timestamp2,sellPrice,buyGradient,buyGradient_norm,buyGradient2,buyGradient_roll1dmean,diurnal_range,diurnal,next_time,gain
2022-01-23 00:00:00,3276.73769847,2022-01-23 00:00:00,0,,,,-1.0498972684405368,0.01312445993270716,0.03238986816767468,2022-01-21 06:00:00,-0.2092127041974568
2022-01-23 00:00:00,3276.73769847,2022-01-23 00:00:00,0,,,,-1.0498972684405368,0.01312445993270716,0.03238986816767468,2022-01-21 06:00:00,-0.2092127041974568
2022-01-23 00:00:00,3276.73769847,2022-01-23 00:00:00,0,-0.0001149600703858026,-1.2296549287744893,-0.00029542677904321004,-1.0498972684405368,0.01312445993270716,0.03238986816767468,2022-01-21 06:00:00,-0.2092127041974568
2022-01-22 21:00:00,3351.23182408,2022-01-22 21:00:00,0,0.00018046670865740742,1.930337873276882,0.0003691524519290123,-0.9245623705619338,0.03615706971774747,0.08923206954739031,2022-01-21 06:00:00,-0.19123475980117108
2022-01-22 18:00:00,3234.28939687,2022-01-22 18:00:00,0,-0.0001886857432716049,-2.0182516714260887,-3.266693475308666e-05,-0.998499137712423,0.0,0.0,2022-01-21 06:00:00,-0.21945691069874262
2022-01-22 15:00:00,3356.55775851,2022-01-22 15:00:00,0,-0.00015601880851851823,-1.668834198104426,-5.9981635069443967e-05,-0.9072294087136388,0.0,0.0,2022-01-21 06:00:00,-0.1899494322366584
2022-01-22 12:00:00,3457.65794643,2022-01-22 12:00:00,0,-9.603717344907427e-05,-1.0272487071459637,-0.00011663894974536978,-0.7956075063175001,0.0,0.0,2022-01-21 06:00:00,-0.16555054786830756
2022-01-22 10:00:00,3499.14600536,2022-01-22 10:00:00,0,2.0601776296295517e-05,0.22036412885997875,0.00021847610436728288,-0.7346341256590877,0.0025499541473871486,0.008439300182540377,2022-01-21 06:00:00,-0.1555380803019624
2022-01-22 08:00:00,3490.246038,2022-01-22 08:00:00,0,-0.00019787432807098738,-2.116536132709947,-5.054989660493417e-07,-0.7208194418403258,0.0,0.0,2022-01-21 06:00:00,-0.15768594252622017
2022-01-22 05:00:00,3618.46860259,2022-01-22 05:00:00,0,-0.00019736882910493804,-2.1111291310179077,-0.00012304938106481454,-0.607386843055995,0.0,0.0,2022-01-21 06:00:00,-0.12674151412099938
2022-01-22 02:00:00,3746.36360385,2022-01-22 02:00:00,0,-7.431944804012348e-05,-0.7949479787168223,-0.00011827621729938292,-0.470796967988344,0.0,0.0,2022-01-21 06:00:00,-0.09587613779249979
2022-01-21 23:00:00,3794.52260618,2022-01-21 23:00:00,0,4.395676925925943e-05,0.4701776694399678,0.00022194619378086458,-0.49588934621812875,0.007563381408518091,0.03657451105034821,2022-01-21 06:00:00,-0.08425374664447736
2022-01-21 20:00:00,3766.0386197,2022-01-21 20:00:00,0,-0.00017798942452160516,-1.9038399367556087,-0.00022896832262345675,-0.49029803069026184,0.0,0.0,2022-01-21 06:00:00,-0.09112789304097194
2022-01-21 17:00:00,3881.37576679,2022-01-21 17:00:00,0,5.097889810185159e-05,0.5452889260076162,7.31897878472213e-05,-0.344241539786556,0.008584042366823072,0.04742968347591422,2022-01-21 06:00:00,-0.06329315036520984
2022-01-21 14:00:00,3848.34144082,2022-01-21 14:00:00,0,-2.2210889745369716e-05,-0.2375757944145587,0.0001628776596527791,-0.3809721658582345,0.0,0.0,2022-01-21 06:00:00,-0.07126544711470965
2022-01-21 12:00:00,3857.93654519,2022-01-21 12:00:00,0,-0.0001850885493981488,-1.9797747710431282,0.00010251932643518452,-0.3881419844304183,0.0,0.0,2022-01-21 06:00:00,-0.06894982489043515
2022-01-21 10:00:00,3937.89479853,2022-01-21 10:00:00,0,-0.0002876078758333333,-3.076358955643924,-9.895421444444444e-05,-0.38705116953654517,0.0,0.0,2022-01-21 03:00:00,-0.09320668076280857
2022-01-21 08:00:00,4062.14140089,2022-01-21 08:00:00,0,-0.00018865366138888889,-2.0179085118831823,0.00011847583199074086,-0.23987829375539774,0.0,0.0,2022-01-21 03:00:00,-0.06459596495597045
2022-01-21 06:00:00,4143.63978261,2022-01-21 06:00:00,0,-0.00030712949337962975,-3.2851693117344727,-0.0002635458331018516,-0.0800502831704818,0.0,0.0,2022-01-17 22:00:00,-0.05952913752146342
2022-01-21 03:00:00,4342.65969432,2022-01-21 03:00:00,0,-4.3583660277778124e-05,-0.46618675940912996,-0.000120170431003087,0.0832448664203225,0.04762362896623259,0.4940431319000241,2022-01-11 04:00:00,0.05080371212419188
2022-01-21 01:00:00,4361.48783556,2022-01-21 01:00:00,0,7.658677072530888e-05,0.8192000908249997,-3.108607691358091e-05,0.11216232041134633,0.05216573151189991,0.541162484536163,2022-01-11 04:00:00,0.05535960231592581
2022-01-20 22:00:00,4311.85960813,2022-01-20 22:00:00,0,0.00010767284763888979,1.151708130918966,5.8540336388889324e-05,0.034915551124268175,0.040193413306220324,0.4169627603481655,2022-01-06 02:00:00,-0.15128407257093882
2022-01-20 19:00:00,4242.08760286,2022-01-20 19:00:00,0,4.913251125000047e-05,0.5255392974175876,7.569544245370497e-05,-0.06993777290465893,0.0233616082590015,0.23480712866820452,2022-01-17 11:00:00,-0.050925791794962885
2022-01-20 17:00:00,4220.862357999999,2022-01-20 17:00:00,0,-2.6562931203704496e-05,-0.2841268204491877,-6.881858787037092e-05,-0.08122046098606062,0.018241228212871236,0.18334227560704786,2022-01-17 11:00:00,-0.05567447554347423
