,coin,type,price,qty,timestamp
0,OMG , SGD Sell Instant Order , 11.6923 1.3646579 , 15.82 ,2021-11-30 07:01:04
1,GRT , ICP Swap Instant Order , 0.022869 6.62626332 , 0.15002065 ,2021-11-29 22:15:02
2,NANO , DOT Swap Instant Order , 0.13763 2.08822781 , 0.28452876 ,2021-11-29 21:35:25
3,AAVE , SGD Buy Instant Order , 323.464 5 , 0.01530309 ,2021-11-29 20:53:10
4,DYDX , SGD Buy Instant Order , 16.9711 5 , 0.29167231 ,2021-11-29 20:09:58
5,CHZ , SGD Sell Instant Order , 0.62487 8.54804172 , 5.28 ,2021-11-29 18:19:19
6,YFI , SGD Sell Instant Order , 41375.35 0.00012571 , 5.14 ,2021-11-29 08:34:27
7,CHZ , SGD Buy Instant Order , 0.57908 5 , 8.54804172 ,2021-11-28 17:21:33
8,OMG , SGD Buy Instant Order , 10.7931 5 , 0.45862634 ,2021-11-28 14:45:04
9,LUNA , SGD Sell Instant Order , 62.8302 0.16288674 , 10.13 ,2021-11-28 14:25:48
10,NANO , SGD Buy Instant Order , 6.47592 5 , 0.76437015 ,2021-11-28 14:09:29
11,OMG , SGD Buy Instant Order , 10.6854 5 , 0.46324891 ,2021-11-28 10:49:32
12,YFI , SGD Buy Instant Order , 39375.6 5 , 0.00012571 ,2021-11-28 10:48:18
13,KSM , SGD Sell Instant Order , 466.822 0.02194629 , 10.16 ,2021-11-28 01:24:41
14,OMG , SGD Buy Instant Order , 11.1793 5 , 0.44278264 ,2021-11-26 22:47:39
15,KSM , SGD Buy Instant Order , 431.615 5 , 0.01146855 ,2021-11-26 16:47:30
16,MATIC , SGD Sell Instant Order , 2.62735 1.96745928 , 5.11 ,2021-11-26 08:00:10
17,KSM , SGD Buy Instant Order , 472.43 5 , 0.01047774 ,2021-11-25 23:59:40
18,BCH , SGD Sell Instant Order , 842.734 0.00610113 , 5.1 ,2021-11-25 08:05:37
19,AXS , MATIC Swap Instant Order , 83.5013 0.02380002 , 1.96745928 ,2021-11-22 21:12:22
20,ATOM , LUNA Swap Instant Order , 0.7572 0.10082582 , 0.07558185 ,2021-11-22 21:07:09
21,LINK , GRT Swap Instant Order , 30.3729 0.09411306 , 2.82990169 ,2021-11-22 21:01:03
22,NANO , SGD Buy Instant Order , 7.19237 5 , 0.68822933 ,2021-11-22 20:29:40
23,UNI , SGD Sell Instant Order , 29.7357 0.17162412 , 5.05 ,2021-11-22 20:28:34
24,LUNA , SGD Buy Instant Order , 56.8124 5 , 0.08730488 ,2021-11-22 11:42:00
