,coin,type,price,qty,timestamp
0,YFI , SGD Buy Instant Order , 41471.25 5 , 0.00011935 ,2021-12-28 11:50:39
1,MKR , SGD Buy Instant Order , 3542.56 5 , 0.00139729 ,2021-12-28 11:46:23
2,KSM , SGD Sell Instant Order , 439.323 0.03710803 , 16.17 ,2021-12-27 10:14:59
3,DAI , SGD Buy Instant Order , 1.36304 5 , 3.63158821 ,2021-12-24 16:40:07
4,VET , SGD Sell Instant Order , 0.12919 39.70482072 , 5.07 ,2021-12-24 11:29:11
5,BAND , SGD Sell Instant Order , 7.65317 0.67865765 , 5.14 ,2021-12-24 03:20:33
6,KSM , SGD Buy Instant Order , 379.834 5 , 0.013032 ,2021-12-24 01:00:38
7,MKR , SGD Sell Instant Order , 3412.74 0.00297293 , 10.04 ,2021-12-24 00:44:55
8,AAVE , SGD Sell Instant Order , 311.219 0.03373722 , 10.39 ,2021-12-23 18:52:37
9,OMG , SGD Sell Instant Order , 8.66253 1.2044458 , 10.32 ,2021-12-22 19:14:45
10,FTM , SGD Sell Instant Order , 2.19728 2.40431319 , 5.23 ,2021-12-22 19:14:19
11,OMG , SGD Buy Instant Order , 7.68397 5 , 0.64419824 ,2021-12-20 22:21:26
12,MKR , SGD Buy Instant Order , 3127.22 5 , 0.00158287 ,2021-12-17 18:39:06
13,YFI , SGD Sell Instant Order , 36489.33 0.00028307 , 10.22 ,2021-12-17 18:30:10
14,BAND , SGD Buy Instant Order , 7.29381 5 , 0.67865765 ,2021-12-12 22:48:28
15,ETH , SGD Buy Instant Order , 5520.63 5 , 0.00089663 ,2021-12-12 22:45:02
16,BAT , SGD Sell Instant Order , 1.55587 3.36416585 , 5.18 ,2021-12-12 22:08:05
17,SAND , SGD Sell Instant Order , 7.26724 0.72426129 , 5.21 ,2021-12-12 22:07:42
18,SAND , SGD Buy Instant Order , 6.83455 5 , 0.72426129 ,2021-12-11 17:37:16
19,BAT , SGD Buy Instant Order , 1.47139 5 , 3.36416585 ,2021-12-11 10:16:09
20,FTM , SGD Buy Instant Order , 2.0588 5 , 2.40431319 ,2021-12-09 23:24:58
21,VET , SGD Buy Instant Order , 0.12467 5 , 39.70482072 ,2021-12-09 17:46:48
22,DOT , AAVE Swap Instant Order , 0.1549 0.22 , 0.03373722 ,2021-12-08 21:40:37
23,DOT , SGD Buy Instant Order , 36.3307 5 , 0.1362484 ,2021-12-06 21:29:54
24,ENJ , SGD Buy Instant Order , 3.48192 5 , 1.42162944 ,2021-12-06 21:29:24
