,coin,type,price,qty,timestamp
0,FTM , SGD Buy Instant Order , 2.61065 5 , 1.89607952 ,2022-02-12 13:20:50
1,LRC , SGD Buy Instant Order , 1.29331 5 , 3.82738863 ,2022-02-12 11:30:41
2,KSM , SGD Buy Instant Order , 219.317 5 , 0.02257006 ,2022-02-12 07:04:54
3,MKR , SGD Buy Instant Order , 2716.07 5 , 0.00182248 ,2022-02-12 07:03:38
4,SNX , SGD Buy Instant Order , 6.50094 5 , 0.76142834 ,2022-02-12 06:51:43
5,BTC , SGD Sell Instant Order , 59742.44 0.00018154 , 10.73 ,2022-02-10 07:11:55
6,FTM , SGD Sell Instant Order , 3.13967 3.52844757 , 10.96 ,2022-02-08 07:09:09
7,LRC , SGD Sell Instant Order , 1.29052 4.17379866 , 5.33 ,2022-02-06 07:51:29
8,LUNA , SGD Buy Instant Order , 65.2323 5 , 0.07588265 ,2022-02-03 08:55:23
9,FTM , SGD Buy Instant Order , 2.60325 5 , 1.90146931 ,2022-02-03 08:54:36
10,LRC , SGD Buy Instant Order , 1.18597 5 , 4.17379866 ,2022-02-03 08:54:05
11,OMG , SGD Sell Instant Order , 6.21143 0.8467806 , 5.2 ,2022-02-03 08:53:06
12,ENJ , SGD Sell Instant Order , 2.26175 2.44905229 , 5.48 ,2022-02-03 08:51:36
13,MKR , SGD Sell Instant Order , 2884.22 0.00202425 , 5.77 ,2022-02-03 08:50:36
14,FTM , SGD Buy Instant Order , 3.04245 5 , 1.62697825 ,2022-01-27 07:05:35
15,LUNA , SGD Buy Instant Order , 86.229 5 , 0.05740528 ,2022-01-26 20:33:55
16,MKR , SGD Buy Instant Order , 2445.34 5 , 0.00202425 ,2022-01-26 20:31:30
17,LRC , SGD Sell Instant Order , 1.38749 4.79488545 , 6.58 ,2022-01-26 17:53:14
18,SNX , SGD Sell Instant Order , 5.61313 0.94276196 , 5.23 ,2022-01-26 01:32:47
19,ENJ , SGD Buy Instant Order , 2.02119 5 , 2.44905229 ,2022-01-25 20:52:20
20,FTM , SGD Sell Instant Order , 3.13886 1.75131349 , 5.44 ,2022-01-25 19:39:24
21,EGLD , SGD Buy Instant Order , 188.961 5 , 0.02619588 ,2022-01-23 18:59:42
22,AAVE , SGD Buy Instant Order , 203.081 5 , 0.02437451 ,2022-01-23 10:05:57
23,SNX , SGD Buy Instant Order , 5.25053 5 , 0.94276196 ,2022-01-23 10:05:37
24,ETH , SGD Buy Instant Order , 3304.82 5 , 0.00149781 ,2022-01-23 10:05:03
